Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
Fine loamy,Brown Earth: Well drained mineral soils,253.7,1180,3,2,1.462231190714312,1.5104789082638104,32.41714,77.18189
Fine loamy,Luvisol: Well drained mineral soils,78.5,830,3,2,1.9456737596369083,-0.5657930947602394,87.32158,-35.591255
Peat,Peat soils,165.0,1790,2,0,-0.734954872175547,1.4304551092001465,-24.00686,35.887028
Peat,Peat soils,234.5,1893,1,3,-2.834805866325641,1.691957199868765,-69.55911,42.53778
Peat,Peat soils,72.2,1379,2,0,-0.3325405626662108,-0.08960937213141773,-27.553501,3.7742486
Coarse loamy,Brown Earth: Well drained mineral soils,93.1,1179,3,2,1.6979253822825608,0.2030635498673472,49.615105,24.237328
Peat,Peat soils,84.6,1444,1,1,-2.3241741721260403,-0.36307778365385757,-71.03529,6.7044573
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,156.4,1308,2,0,-0.40971665524746337,0.4626012272420501,-11.487092,15.245854
Coarse loamy,Brown Earth: Well drained mineral soils,107.0,1598,3,2,1.4057956360770918,1.0966363446412202,19.937819,47.734356
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,84.0,1263,2,0,-0.27456642696737754,-0.20978697025315873,-18.822811,-9.195418
Clayey,Surface-water Gley: Poorly drained mineral soil,62.0,1101,2,0,-0.13728629533550674,-0.6904279034680854,-18.408056,-40.9747
Fine loamy,Surface-water Gley: Poorly drained mineral soil,49.0,1239,2,0,-0.20777458586599318,-0.5390204346310326,-29.681885,-21.026064
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,195.2,1102,3,2,1.598443740953849,0.8896094422039753,63.42993,62.02669
Fine loamy,Brown Earth: Well drained mineral soils,33.5,1164,3,2,1.794882567319343,-0.30938211350950096,25.230448,-1.3737547
Peat,Peat soils,79.0,2458,2,3,-1.0423914420298606,1.9757939436052072,-34.068142,46.3104
Fine loamy,Luvisol: Well drained mineral soils,55.5,789,3,2,2.005930180387832,-0.8291461183759329,63.389324,-53.17965
Peat,Peat soils,659.0,2095,1,3,-3.587109586360329,5.519126427084359,-58.333134,65.54524
Coarse loamy,Brown Earth: Well drained mineral soils,79.0,1253,3,2,1.6705609138434454,0.2262999850068792,36.589718,25.09078
Fine loamy,Luvisol: Well drained mineral soils,108.5,1006,3,2,1.7876040873137766,0.005962902807737924,79.21335,10.835041
Coarse loamy,Brown Earth: Well drained mineral soils,66.6,904,3,2,1.9150894893272419,-0.5246723800737363,68.49082,-29.913918
All,River alluvium,38.2,907,0,1,-3.8392609379893656,-2.2360409956319396,-104.85309,-32.083565
Peat,Lithosols: Stony mineral soils often overlying bedrock,37.0,1151,2,0,-0.13313038861881488,-0.8005107794873333,-30.87032,-30.698864
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,92.9,1100,2,0,-0.18186122113562941,-0.44109801948046157,-6.180885,-29.921347
Peat,Peat soils,34.5,1183,1,1,-2.081551542541077,-1.2565819372802043,-72.884056,-17.572882
Peat,Peat soils,71.6,1696,1,1,-2.4686091347158206,0.0007061524853830825,-80.2409,13.708315
Peat,Peat soils,163.1,1782,1,1,-2.6583079531581273,0.9047434234902907,-70.54126,28.855932
Fine loamy,Surface-water Gley: Poorly drained mineral soil,297.0,1137,2,0,-0.5045712576127941,1.2870045736997477,-4.7886333,62.745964
Fine loamy,Luvisol: Well drained mineral soils,96.6,884,2,0,-0.04716685856155234,-0.8134174299632655,16.758926,-61.7113
Peat,Peat soils,40.6,1121,3,2,1.8123835543320448,-0.3317715789858504,31.80995,-6.2449746
Fine loamy,Brown Earth: Well drained mineral soils,43.9,1492,3,2,1.5669028398244809,0.38620983480049853,19.17065,36.335636
Coarse loamy,Brown Earth: Well drained mineral soils,3.7,1775,3,2,1.442168031165159,0.5866305374898222,11.490277,43.74944
Fine loamy,Brown Earth: Well drained mineral soils,57.7,971,3,2,1.8846551652296366,-0.47220467173248626,51.889805,-24.207825
Fine loamy,Luvisol: Well drained mineral soils,64.8,921,3,2,1.9066967373687866,-0.5076347974817772,64.44833,-28.846922
Fine loamy,Luvisol: Well drained mineral soils,71.7,941,3,2,1.8836251675044169,-0.41428416409683366,65.581825,-21.31843
Fine loamy,Luvisol: Well drained mineral soils,49.4,898,3,2,1.9441544158781117,-0.675672638064526,58.904613,-37.863495
All,River alluvium,65.6,968,0,1,-3.91893006284267,-1.8996603835710428,-101.40322,-27.03045
Fine loamy,Luvisol: Well drained mineral soils,50.8,928,3,2,1.9226458005094784,-0.60840318887138,52.284252,-33.756554
Fine loamy,Luvisol: Well drained mineral soils,52.5,998,3,2,1.8747519205268466,-0.4641769155829433,46.669247,-20.273027
Peat,Peat soils,123.0,1696,1,1,-2.5438354147823183,0.4185479564464383,-72.328865,21.253841
Fine loamy,Surface-water Gley: Poorly drained mineral soil,161.6,1155,2,0,-0.3180828782686116,0.2198415861795624,-3.2042997,11.707576
Fine loamy,Brown Earth: Well drained mineral soils,141.1,1151,2,0,-0.2854855589480443,0.045740811803441916,-4.473795,7.3059697
